2025-09-15 15:46:45,166 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:46:45,166 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:46:45,167 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:46:55,816 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:16:54 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:46:55,817 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:46:55,818 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:46:55,818 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:46:55,819 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:46:55,820 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:46:55,821 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:46:55,822 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:46:55,822 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:46:55,823 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:47:01,197 | DEBUG | strategy | Candle Time: 2025-09-15 10:17:00 | Close: 114849.5
Previous EMA 9: 114830.44625064367, Current EMA 9: 114834.25700051495
Previous EMA 20: 114836.6801959223, Current EMA 20: 114837.90112964399
2025-09-15 15:47:06,122 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:17:05 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:47:06,123 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:47:06,123 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:47:06,123 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:47:06,123 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:47:06,124 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:47:06,125 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:47:06,125 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:47:06,125 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:47:06,125 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:47:16,359 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:17:15 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
